MS_system,Package,Class,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,TLOC,WMC,AHF,AIF,LCOM*,NMIR,PF
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.rest,SHCStra.HystrixTraceCallable,5.0,5.0,0.0,0.0,0.0,0.0,2.5,5.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,62.0,0.0,53.0,11.0,0.0,0.0,0.2,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.rest,TComm,4.0,4.0,0.0,0.0,0.0,0.0,1.8,9.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,40.0,7.0,0.0,0.0,0.625,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.schedl,SSProp,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,25.0,0.0,16.0,4.0,0.0,0.0,0.666666667,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.schedl,TSAConf,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,5.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.schedl,TSAspect,4.0,4.0,0.0,0.0,0.0,0.0,10.2,20.4,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,36.0,0.0,26.0,3.0,0.0,0.0,0.25,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,HSExtra,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,HSInject,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,HSRTMap,2.0,2.0,0.0,0.0,0.0,0.0,1.666666667,5.0,2.0,1.0,0.0,0.666666667,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.666666667,2.0,0.0,29.0,1.333333333,22.0,5.0,0.0,0.0,0.25,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,HTKInject,2.0,2.0,0.0,0.0,0.0,0.0,6.35,50.8,1.0,2.0,0.0,0.75,0.0,8.0,8.0,0.0,0.0,0.0,2.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.75,6.0,0.0,61.0,0.0,44.0,11.0,0.0,0.0,0.571428571,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,SWProp,4.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,105.0,0.0,67.0,6.0,0.25,0.0,0.9,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,SCTCall,1.0,1.0,0.0,0.0,0.0,0.0,4.233333333,21.166666667,2.0,2.0,3.0,0.6,0.642857143,14.0,5.0,9.0,12.0,3.0,1.0,3.0,2.0,9.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.642857143,3.0,6.0,44.0,1.2,33.0,7.0,0.0,0.0,0.5,75.0,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,LTTPTExec,6.0,6.0,0.0,0.0,0.0,0.0,1.384615385,18.0,1.0,3.0,0.0,0.769230769,0.0,13.0,13.0,0.0,0.0,0.0,6.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.769230769,10.0,0.0,96.0,0.0,69.0,16.0,0.0,0.0,0.819444444,,
