MS_system,Microservice,Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.1.0,ts-admin-order-service,7.741520134891343e-22,0.017447780525062864,1.5832994819734258e-19,0.0,6.014559516282523e-22,0.015627411627052522,1.3951789206090325e-19,0.0,0.0,0.21146057966932133,0.1709783839198848
train-ticket-0.1.0,ts-admin-route-service,4.8915840037520155e-25,9.213425835921747e-22,2.9144508472440163e-19,0.0,3.800380623808193e-25,8.252166963382344e-22,2.5681688357264515e-19,0.0,0.0,0.06298418359125794,0.05092643716283619
train-ticket-0.1.0,ts-admin-travel-service,0.11085747366022684,0.00375665798356874,0.06074419113895861,0.03139812409610516,0.08612764179854644,0.00336471682268999,0.05352683809438868,0.09294743612587653,0.0,0.14987183063839643,0.12118023812163674
train-ticket-0.1.0,ts-admin-user-service,1.4250270833238379e-27,1.0761687747896118e-19,2.6602900614676743e-17,0.0,1.1071352984456218e-27,9.638894987050195e-20,2.3442062974967244e-17,0.0,0.0,0.404956671961563,0.327431417419916
train-ticket-0.1.0,ts-assurance-service,1.4189352507831754e-27,5.837466596572244e-20,0.0,0.0,1.102402417985374e-27,5.228429669479415e-20,0.0,0.0,-0.1284613938344723,0.2118684632092277,0.17130818188312583
train-ticket-0.1.0,ts-auth-service,2.198560065720705e-33,6.337415960721638e-21,6.552824530340507e-19,0.0,1.7081103110228872e-33,5.676218114263145e-21,5.774247234506645e-19,0.0,0.0,0.07065671108654906,0.057130129377135346
train-ticket-0.1.0,ts-basic-service,1.3289547960351108e-17,0.02112200345496891,1.9605909056529238e-19,0.0,1.0324945974340558e-17,0.01891829404345602,1.727642265186216e-19,0.0,-0.06090371564634467,0.2863623451102787,0.23154089078460582
train-ticket-0.1.0,ts-cancel-service,1.5917016508324465e-20,0.01865466251229851,2.2753046087944467e-20,0.0,1.2366284843656562e-20,0.016708376714429367,2.0049630940306675e-20,0.0,5.551115123125783e-17,0.20173289999446245,0.16311297963177301
train-ticket-0.1.0,ts-config-service,1.8701430846360046e-19,1.7578977663807457e-18,0.0,0.0,1.4529558394884038e-19,1.5744920652828502e-18,0.0,0.0,-0.10472871513598157,0.2056587091436468,0.16628722849156094
train-ticket-0.1.0,ts-consign-price-service,2.561731825240765e-19,8.942494799648482e-20,0.0,0.0,1.990266544450691e-19,8.009502813618174e-20,0.0,0.0,-0.0354086021168545,0.04731711316966012,0.03825868421506323
train-ticket-0.1.0,ts-consign-service,8.89146061401113e-19,4.405229394303165e-19,9.52402156995061e-18,0.0,6.907973901485239e-19,3.9456212185543173e-19,8.39241993388327e-18,0.0,-0.1375747595967983,0.12226962648498271,0.09886222373731272
train-ticket-0.1.0,ts-contacts-service,4.356118226302474e-19,1.804895938902561e-19,0.0,0.0,3.384365328196233e-19,1.6165868054512415e-19,0.0,0.0,-0.12846139383447214,0.30296606971208917,0.24496598402849923
