MS_system,Version Id,Microservice,Sum(Di)_x,Sum(Fin)_x,Sum(Fout)_x,Sum(IOVars)_x,Sum(MCLC)_x,Sum(NBD)_x,Sum(Si)_x,Sum(VG)_x,Avg(Di)_x,Avg(Fin)_x,Avg(Fout)_x,Avg(IOVars)_x,Avg(MCLC)_x,Avg(NBD)_x,Avg(Si)_x,Avg(VG)_x,Max(Di)_x,Max(Fin)_x,Max(Fout)_x,Max(IOVars)_x,Max(MCLC)_x,Max(NBD)_x,Max(Si)_x,Max(VG)_x,Sum(Di)_y,Sum(Fin)_y,Sum(Fout)_y,Sum(IOVars)_y,Sum(MCLC)_y,Sum(NBD)_y,Sum(Si)_y,Sum(VG)_y,Avg(Di)_y,Avg(Fin)_y,Avg(Fout)_y,Avg(IOVars)_y,Avg(MCLC)_y,Avg(NBD)_y,Avg(Si)_y,Avg(VG)_y,Max(Di)_y,Max(Fin)_y,Max(Fout)_y,Max(IOVars)_y,Max(MCLC)_y,Max(NBD)_y,Max(Si)_y,Max(VG)_y
train-ticket-0.0.1,1,ts-security-service,150.804761905,52.0,52.0,174.0,53.0,140.0,466.0,157.0,1.1170723104074074,0.3851851851851852,0.3851851851851852,1.288888888888889,0.3925925925925926,1.037037037037037,3.4518518518518517,1.162962962962963,3.0,4.0,14.0,3.0,23.0,2.0,196.0,18.0,150.804761905,52.0,52.0,174.0,53.0,140.0,466.0,157.0,1.1170723104074074,0.3851851851851852,0.3851851851851852,1.288888888888889,0.3925925925925926,1.037037037037037,3.4518518518518517,1.162962962962963,3.0,4.0,14.0,3.0,23.0,2.0,196.0,18.0
train-ticket-0.0.1,1,ts-sso-service,244.596816908,85.0,85.0,280.0,74.0,223.0,743.0,237.0,1.181627134821256,0.4106280193236715,0.4106280193236715,1.3526570048309179,0.357487922705314,1.077294685990338,3.5893719806763285,1.144927536231884,4.0,7.0,16.0,4.0,10.0,3.0,256.0,8.0,244.596816908,85.0,85.0,280.0,74.0,223.0,743.0,237.0,1.181627134821256,0.4106280193236715,0.4106280193236715,1.3526570048309179,0.357487922705314,1.077294685990338,3.5893719806763285,1.144927536231884,4.0,7.0,16.0,4.0,10.0,3.0,256.0,8.0
train-ticket-0.0.1,1,ts-ticketinfo-service,95.0,0.0,0.0,95.0,2.0,70.0,0.0,73.0,1.3970588235294117,0.0,0.0,1.3970588235294117,0.029411764705882353,1.0294117647058822,0.0,1.0735294117647058,8.0,0.0,0.0,8.0,1.0,3.0,0.0,6.0,95.0,0.0,0.0,95.0,2.0,70.0,0.0,73.0,1.3970588235294117,0.0,0.0,1.3970588235294117,0.029411764705882353,1.0294117647058822,0.0,1.0735294117647058,8.0,0.0,0.0,8.0,1.0,3.0,0.0,6.0
train-ticket-0.0.1,1,ts-train-service,70.678571429,21.0,21.0,80.0,12.0,48.0,165.0,48.0,1.6063311688409092,0.4772727272727273,0.4772727272727273,1.8181818181818181,0.2727272727272727,1.0909090909090908,3.75,1.0909090909090908,5.0,5.0,11.0,5.0,3.0,2.0,121.0,2.0,70.678571429,21.0,21.0,80.0,12.0,48.0,165.0,48.0,1.6063311688409092,0.4772727272727273,0.4772727272727273,1.8181818181818181,0.2727272727272727,1.0909090909090908,3.75,1.0909090909090908,5.0,5.0,11.0,5.0,3.0,2.0,121.0,2.0
train-ticket-0.0.1,1,ts-travel-plan-service,267.196428571,89.0,89.0,282.0,20.0,213.0,2237.0,216.0,1.3097864145637255,0.4362745098039216,0.4362745098039216,1.3823529411764706,0.09803921568627451,1.0441176470588236,10.965686274509803,1.0588235294117647,8.0,9.0,27.0,8.0,5.0,3.0,729.0,6.0,267.196428571,89.0,89.0,282.0,20.0,213.0,2237.0,216.0,1.3097864145637255,0.4362745098039216,0.4362745098039216,1.3823529411764706,0.09803921568627451,1.0441176470588236,10.965686274509803,1.0588235294117647,8.0,9.0,27.0,8.0,5.0,3.0,729.0,6.0
train-ticket-0.0.1,1,ts-travel-service,351.938128539,101.0,101.0,394.0,108.0,302.0,1381.0,316.0,1.2705347600685921,0.36462093862815886,0.36462093862815886,1.4223826714801444,0.3898916967509025,1.0902527075812274,4.985559566787003,1.1407942238267148,8.0,6.0,29.0,9.0,20.0,6.0,841.0,6.0,351.938128539,101.0,101.0,394.0,108.0,302.0,1381.0,316.0,1.2705347600685921,0.36462093862815886,0.36462093862815886,1.4223826714801444,0.3898916967509025,1.0902527075812274,4.985559566787003,1.1407942238267148,8.0,6.0,29.0,9.0,20.0,6.0,841.0,6.0
train-ticket-0.0.1,1,ts-travel2-service,350.00955711,100.0,100.0,392.0,102.0,298.0,1370.0,312.0,1.2727620258545456,0.36363636363636365,0.36363636363636365,1.4254545454545455,0.3709090909090909,1.0836363636363637,4.9818181818181815,1.1345454545454545,8.0,6.0,29.0,9.0,20.0,6.0,841.0,6.0,350.00955711,100.0,100.0,392.0,102.0,298.0,1370.0,312.0,1.2727620258545456,0.36363636363636365,0.36363636363636365,1.4254545454545455,0.3709090909090909,1.0836363636363637,4.9818181818181815,1.1345454545454545,8.0,6.0,29.0,9.0,20.0,6.0,841.0,6.0
train-ticket-0.0.2,2,ts-admin-basic-info-service,225.0,0.0,0.0,225.0,13.0,107.0,0.0,112.0,2.142857142857143,0.0,0.0,2.142857142857143,0.12380952380952381,1.019047619047619,0.0,1.0666666666666667,5.0,0.0,0.0,5.0,9.0,2.0,0.0,8.0,225.0,0.0,0.0,225.0,13.0,107.0,0.0,112.0,2.142857142857143,0.0,0.0,2.142857142857143,0.12380952380952381,1.019047619047619,0.0,1.0666666666666667,5.0,0.0,0.0,5.0,9.0,2.0,0.0,8.0
train-ticket-0.0.2,2,ts-admin-order-service,46.0,0.0,0.0,46.0,34.0,25.0,0.0,44.0,2.4210526315789473,0.0,0.0,2.4210526315789473,1.7894736842105263,1.3157894736842106,0.0,2.3157894736842106,4.0,0.0,0.0,4.0,22.0,2.0,0.0,18.0,46.0,0.0,0.0,46.0,34.0,25.0,0.0,44.0,2.4210526315789473,0.0,0.0,2.4210526315789473,1.7894736842105263,1.3157894736842106,0.0,2.3157894736842106,4.0,0.0,0.0,4.0,22.0,2.0,0.0,18.0
train-ticket-0.0.2,2,ts-admin-route-service,56.0,0.0,0.0,56.0,1.0,40.0,0.0,39.0,1.435897435897436,0.0,0.0,1.435897435897436,0.02564102564102564,1.0256410256410255,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,56.0,0.0,0.0,56.0,1.0,40.0,0.0,39.0,1.435897435897436,0.0,0.0,1.435897435897436,0.02564102564102564,1.0256410256410255,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0
train-ticket-0.0.2,2,ts-admin-travel-service,129.0,4.0,4.0,133.0,21.0,99.0,8.0,106.0,1.4021739130434783,0.043478260869565216,0.043478260869565216,1.4456521739130435,0.22826086956521738,1.076086956521739,0.08695652173913043,1.1521739130434783,8.0,4.0,2.0,8.0,6.0,3.0,4.0,6.0,129.0,4.0,4.0,133.0,21.0,99.0,8.0,106.0,1.4021739130434783,0.043478260869565216,0.043478260869565216,1.4456521739130435,0.22826086956521738,1.076086956521739,0.08695652173913043,1.1521739130434783,8.0,4.0,2.0,8.0,6.0,3.0,4.0,6.0
train-ticket-0.0.2,2,ts-assurance-service,117.333333333,5.0,5.0,119.0,22.0,72.0,25.0,72.0,1.9234972677540982,0.08196721311475409,0.08196721311475409,1.9508196721311475,0.36065573770491804,1.180327868852459,0.4098360655737705,1.180327868852459,5.0,3.0,5.0,5.0,4.0,3.0,25.0,3.0,117.333333333,5.0,5.0,119.0,22.0,72.0,25.0,72.0,1.9234972677540982,0.08196721311475409,0.08196721311475409,1.9508196721311475,0.36065573770491804,1.180327868852459,0.4098360655737705,1.180327868852459,5.0,3.0,5.0,5.0,4.0,3.0,25.0,3.0
