MS_system,Version Id,Microservice,Avg(Cognitive complexity),Cognitive complexity,Max(NBD),Max(SIX),Max(VG),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC
train-ticket-0.0.4,4,ts-admin-order-service,9.6,48,2.0,2.0,18.0,1.774844686045298e-21,0.0200902305580874,1.301291077970892e-17,0.0,1.2165617253808481e-21,0.0153680827948636,9.263755676596289e-18,0.0
train-ticket-0.0.4,4,ts-admin-travel-service,7.6,38,3.0,2.0,6.0,0.1252536622139279,0.0043282760340869,0.0751318183619252,0.0261647935825949,0.0858547300568457,0.003310927879028,0.0534855591209129,0.0856265866579707
train-ticket-0.0.4,4,ts-assurance-service,7.714285714285714,54,3.0,2.0,3.0,4.1185324354734634e-27,5.230395785145692e-19,0.0,0.0,2.8230351450643527e-27,4.0010071185403722e-19,0.0,0.0
train-ticket-0.0.4,4,ts-cancel-service,33.2,166,6.0,0.4,18.0,3.915256706844953e-21,0.021477434814165,4.411667116570215e-20,0.0,2.683700434206144e-21,0.0164292288976497,3.1406198802274964e-20,0.0
train-ticket-0.0.4,4,ts-config-service,3.6666666666666665,22,2.0,2.0,3.0,5.428186345218024e-19,9.08126740034846e-19,0.0,0.0,3.720733311342071e-19,6.946743039475496e-19,0.0,0.0
train-ticket-0.0.4,4,ts-consign-price-service,2.0,14,3.0,2.0,3.0,7.435558181682628e-19,1.6174019218824545e-18,0.0,0.0,5.096680042935673e-19,1.2372365053847113e-18,0.0,0.0
train-ticket-0.0.4,4,ts-consign-service,3.6666666666666665,22,2.0,2.0,3.0,2.2920521090755946e-18,3.902166666020697e-18,4.2055871717719704e-19,0.0,1.5710799318970098e-18,2.9849742256254273e-18,2.9939137135000467e-19,0.0
train-ticket-0.0.4,4,ts-contacts-service,6.0,42,2.0,2.0,8.0,1.2643856862306812e-18,1.060873968836331e-18,0.0,0.0,8.666692043995487e-19,8.115187598695469e-19,0.0,0.0
train-ticket-0.0.4,4,ts-execute-service,18.8,94,4.0,0.666666667,18.0,1.1577129721643365e-18,0.0200902305580874,1.7923420820236321e-19,0.0,7.935507269936347e-19,0.0153680827948636,1.2759496639782726e-19,0.0
train-ticket-0.0.4,4,ts-food-map-service,7.428571428571429,52,4.0,2.0,5.0,9.490260584834017e-19,4.860774700848817e-19,0.0,0.0,6.505069363069249e-19,3.718264349124269e-19,0.0,0.0
train-ticket-0.0.4,4,ts-food-service,16.666666666666668,100,5.0,2.0,15.0,0.062626831106964,0.0324455920326388,0.0429323192923878,0.0130823967912974,0.0429273650284228,0.0248193540260412,0.0305630710366861,0.0428132933289853
train-ticket-0.0.4,4,ts-inside-payment-service,17.75,142,4.0,1.636363636,18.0,9.973053875708333e-20,0.0251684179162187,1.783350753469622e-22,0.0,6.835998510597692e-20,0.0192526576155431,1.2695488308101677e-22,0.0
train-ticket-0.0.4,4,ts-notification-service,1.6,8,2.0,2.0,1.0,7.51335919483786e-21,5.1739870881308306e-18,0.0,0.0,5.1500085034734824e-21,3.95785711468311e-18,0.0,0.0
train-ticket-0.0.4,4,ts-order-other-service,30.857142857142858,216,10.0,1.8,18.0,1.6311206798045308e-21,0.1167496951122481,1.5106430563492934e-22,0.0,1.118046555920858e-21,0.0893080333534475,1.07541106102009e-22,0.0
train-ticket-0.0.4,4,ts-order-service,31.142857142857142,218,10.0,1.8,18.0,4.151961769120746e-22,0.2477527323448708,1.253136453407916e-23,0.0,2.845949177001924e-22,0.1895192039892722,8.920947918822966e-24,0.0
train-ticket-0.0.4,4,ts-payment-service,2.0,14,2.0,2.0,3.0,2.2231737740578404e-22,2.218619329376205e-20,0.0,0.0,1.5238674931132711e-22,1.6971395846133284e-20,0.0,0.0
train-ticket-0.0.4,4,ts-preserve-other-service,25.6,128,4.0,0.166666667,18.0,0.195422356597636,0.0370284989027378,0.2657566386744148,0.0408343512471961,0.1339516416223159,0.0283250625353185,0.1891893836659601,0.1336340034425484
train-ticket-0.0.4,4,ts-preserve-service,25.6,128,4.0,0.166666667,18.0,0.195422356597636,0.0463565302319492,0.2657566386744161,0.0408343512471961,0.1339516416223159,0.035460568390561,0.189189383665961,0.1336340034425484
train-ticket-0.0.4,4,ts-price-service,4.0,28,3.0,2.0,4.0,1.649243077657597e-22,2.377864089411262e-22,0.0,0.0,1.130468496710105e-22,1.8189543467580952e-22,0.0,0.0
train-ticket-0.0.4,4,ts-rebook-service,37.2,186,9.0,0.285714286,18.0,0.1513148149994521,0.0444152361629267,0.129561513543192,0.0321530838421326,0.103718265524175,0.0339755696049245,0.0922334923271486,0.1052237928511999
train-ticket-0.0.4,4,ts-route-plan-service,16.4,82,4.0,0.75,9.0,0.1252536622139279,0.0300728938983261,0.0965984538493182,0.0261647935825949,0.0858547300568457,0.023004351392303,0.0687674333856505,0.0856265866579707
train-ticket-0.0.4,4,ts-route-service,5.714285714285714,40,3.0,2.0,6.0,7.266089093132673e-25,5.567438810992254e-20,0.0,0.0,4.980517987525383e-25,4.258829203342492e-20,0.0,0.0
train-ticket-0.0.4,4,ts-seat-service,13.2,66,3.0,1.0,8.0,0.1245834171835079,0.0620574535332313,0.1073309811173106,0.0261647935825949,0.0853953127021629,0.0474710372874833,0.076407807786597,0.0856265866579708
train-ticket-0.0.4,4,ts-security-service,6.285714285714286,44,2.0,1.428571429,18.0,1.775029335648443e-21,0.0251684179162187,9.023506330689412e-20,0.0,1.2166882928723921e-21,0.0192526576155431,6.423740192245937e-20,0.0
train-ticket-0.0.4,4,ts-ticketinfo-service,1.6,8,3.0,2.0,6.0,3.7637456118409036e-17,0.0027758255872783,1.4046881762585907e-20,0.0,2.5798476291682145e-17,0.0021233762014852,9.99982885224568e-21,0.0
train-ticket-0.0.4,4,ts-train-service,4.571428571428571,32,2.0,2.0,3.0,1.391689971306768e-29,4.729612356942566e-19,0.0,0.0,9.539295274679452e-30,3.6179313163653066e-19,0.0,0.0
train-ticket-0.0.4,4,ts-travel-plan-service,7.6,38,3.0,0.666666667,6.0,0.3026642381577848,0.0322935573699495,0.2698549041005859,0.0631673995237931,0.2074602531023479,0.0247030546497278,0.1921068961463415,0.206720866809388
