MS_system,Version Id,Microservice,Avg(Cognitive complexity),Cognitive complexity,Max(NBD),Max(SIX),Max(VG),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.0.3,3,ts-travel2-service,17.428571428571427,122,5.0,1.294117647,6.0,0.084011499491966,0.0193948679330628,0.075573469230378,0.0123346401626387,0.0605132600663975,0.0153207392649009,0.0540288414161737,0.0596796173461408,-0.3292910722338438,0.0907499403597365,0.0845466981699214
train-ticket-0.0.3,3,ts-verification-code-service,9.833333333333334,59,3.0,1.333333333,7.0,1.1525315602738575e-32,7.976059032146526e-19,0.0,0.0,8.301654233448407e-33,6.300590507484724e-19,0.0,0.0,0.0,0.1805641869880374,0.1682216622629103
train-ticket-0.0.4,4,ts-admin-basic-info-service,2.0,10,2.0,2.0,8.0,6.339068870889167e-19,0.0227343507474553,3.265213997352117e-22,0.0,4.3450948826742175e-19,0.0173907105527825,2.3244718430282625e-22,0.0,0.0,0.1587684744652391,0.1735806616587329
train-ticket-0.0.4,4,ts-admin-order-service,9.6,48,2.0,2.0,18.0,1.774844686045298e-21,0.0200902305580874,1.301291077970892e-17,0.0,1.2165617253808481e-21,0.0153680827948636,9.263755676596289e-18,0.0,0.0,0.1020742263746091,0.1115971656973195
train-ticket-0.0.4,4,ts-admin-travel-service,7.6,38,3.0,2.0,6.0,0.1252536622139279,0.0043282760340869,0.0751318183619252,0.0261647935825949,0.0858547300568457,0.003310927879028,0.0534855591209129,0.0856265866579707,0.0,0.0991084927482576,0.1083547461496129
train-ticket-0.0.4,4,ts-assurance-service,7.714285714285714,54,3.0,2.0,3.0,4.1185324354734634e-27,5.230395785145692e-19,0.0,0.0,2.8230351450643527e-27,4.0010071185403722e-19,0.0,0.0,-0.1281259320636993,0.4349064490501408,0.4754807239915982
train-ticket-0.0.4,4,ts-cancel-service,33.2,166,6.0,0.4,18.0,3.915256706844953e-21,0.021477434814165,4.411667116570215e-20,0.0,2.6837004342061438e-21,0.0164292288976497,3.1406198802274964e-20,0.0,1.6653345369377348e-16,0.1435207951157383,0.1569104613613431
train-ticket-0.0.4,4,ts-config-service,3.6666666666666665,22,2.0,2.0,3.0,5.428186345218024e-19,9.08126740034846e-19,0.0,0.0,3.720733311342071e-19,6.946743039475496e-19,0.0,0.0,-0.1045819926371408,0.1538550469043257,0.168208839513888
train-ticket-0.0.4,4,ts-consign-price-service,2.0,14,3.0,2.0,3.0,7.435558181682628e-19,1.6174019218824545e-18,0.0,0.0,5.096680042935673e-19,1.2372365053847113e-18,0.0,0.0,-0.035281266889063,0.0867573584479035,0.0948513219256765
train-ticket-0.0.4,4,ts-consign-service,3.6666666666666665,22,2.0,2.0,3.0,2.2920521090755946e-18,3.902166666020697e-18,4.2055871717719704e-19,0.0,1.5710799318970098e-18,2.9849742256254273e-18,2.9939137135000467e-19,0.0,-0.137198671471089,0.0570035677966288,0.062321673420208
train-ticket-0.0.4,4,ts-contacts-service,6.0,42,2.0,2.0,8.0,1.2643856862306813e-18,1.060873968836331e-18,0.0,0.0,8.666692043995488e-19,8.115187598695469e-19,0.0,0.0,-0.128125932063699,0.0435931940361267,0.0476601887754808
train-ticket-0.0.4,4,ts-execute-service,18.8,94,4.0,0.666666667,18.0,1.1577129721643365e-18,0.0200902305580874,1.7923420820236321e-19,0.0,7.935507269936348e-19,0.0153680827948636,1.2759496639782726e-19,0.0,-1.734723475976807e-18,0.058303532758488,0.0637429176500383
train-ticket-0.0.4,4,ts-food-map-service,7.428571428571429,52,4.0,2.0,5.0,9.490260584834017e-19,4.860774700848817e-19,0.0,0.0,6.505069363069249e-19,3.718264349124269e-19,0.0,0.0,-0.0352812668890629,0.0303162989644241,0.0331446356149302
train-ticket-0.0.4,4,ts-food-service,16.666666666666668,100,5.0,2.0,15.0,0.062626831106964,0.0324455920326388,0.0429323192923878,0.0130823967912974,0.0429273650284228,0.0248193540260412,0.0305630710366861,0.0428132933289853,-0.137198671471089,0.243045160555202,0.2657198787367677
train-ticket-0.0.4,4,ts-inside-payment-service,17.75,142,4.0,1.636363636,18.0,9.973053875708333e-20,0.0251684179162187,1.783350753469622e-22,0.0,6.835998510597692e-20,0.0192526576155431,1.2695488308101677e-22,0.0,-0.0257999953982896,0.0719749333899537,0.0786897814742606
